Brooklyn Rolling Sales.  All Sales From October 2021 - September 2022,,,,,,,,,,,,,,,,,,, PTS Sales Data as of 10/11/2022 ,
"For sales prior to the Final Roll, Neighborhood Name and Descriptive Data reflect the most recent Final Roll.  Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data.",,,,,,,,,,,,,,,,,,  ,  ,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6360,56,,A5,30 BAY 10,,11228,1,0,1,"1,546","1,428",1930,1,A5,"75,000",6/1/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6360,157,,A5,36 BAY 10TH STREET,,11228,1,0,1,"1,547","1,428",1930,1,A5,0,3/18/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6363,22,,A9,8645 16TH AVENUE,,11214,1,0,1,"2,058","1,492",1930,1,A9,"875,000",1/7/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6363,48,,A9,12 BAY 13TH ST,,11214,1,0,1,"3,142","3,200",1999,1,A9,0,3/14/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6364,74,,A5,72 BAY 14TH STREET,,11214,1,0,1,"2,492",972,1950,1,A5,"890,000",10/8/2021
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6367,24,,A9,8645 BAY 16 STREE,,11214,1,0,1,"1,571","1,456",1935,1,A9,"925,000",11/3/2021
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6372,34,,A9,8637 19TH AVENUE,,11214,1,0,1,"2,417","2,154",1930,1,A9,0,9/20/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6373,73,,A1,50 BAY 23RD STREET,,11214,1,0,1,"2,417","1,672",1930,1,A1,0,8/18/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6373,85,,A1,84 BAY 23RD STREET,,11214,1,0,1,"5,737","2,514",1935,1,A1,0,7/1/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6373,85,,A1,84 BAY 23RD STREET,,11214,1,0,1,"5,738","2,514",1935,1,A1,0,12/6/2021
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6373,85,,A1,84 BAY 23RD STREET,,11214,1,0,1,"5,738","2,514",1935,1,A1,0,4/19/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6379,42,,S1,2142 86TH STREET,,11214,1,1,2,"1,600","2,640",1925,1,S1,"2,430,000",7/27/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6398,39,,A1,1638 BENSON AVENUE,,11214,1,0,1,"3,625","1,825",1925,1,A1,"1,290,000",1/13/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6399,8,,S1,1653 BATH AVENUE,,11214,1,1,2,"1,260","1,440",1930,1,S1,"800,000",3/31/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6399,107,,S1,1655 BATH AVENUE,,11214,1,1,2,"1,260","1,440",1930,1,S1,0,2/2/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6402,31,,A1,72 RUTHERFORD PLACE,,11214,1,0,1,"2,743","2,756",1924,1,A1,0,3/24/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6410,54,,A1,122 BAY 26TH STREET,,11214,1,0,1,"9,667","3,972",1901,1,A1,"2,800,000",10/31/2021
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6426,31,,A5,191 BAY 8TH STREET,,11228,1,0,1,"1,920","1,498",1945,1,A5,"860,000",12/1/2021
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6428,55,,A1,202 BAY 11TH STREET,,11228,1,0,1,"1,933","1,515",1920,1,A1,"830,000",2/9/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6429,10,,A5,235 BAY 11TH STREET,,11228,1,0,1,"1,800","1,296",1935,1,A5,"830,000",3/30/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6429,57,,A5,8806 16TH AVENUE,,11214,1,0,1,"1,655","1,156",1951,1,A5,"900,000",5/27/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6429,59,,A5,8810 16TH AVENUE,,11214,1,0,1,"1,655","1,156",1960,1,A5,0,11/29/2021
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6434,31,,S1,1730 BATH AVE,,11214,1,1,2,"2,317","4,164",1925,1,S1,"990,000",11/12/2021
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6442,32,,S1,2014 BATH AVENUE,,11214,1,1,2,"1,245","1,596",1925,1,S1,0,7/25/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,16,,A3,8913 15TH AVENUE,,11228,1,0,1,"3,866","5,330",1935,1,A3,10,7/27/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,83,,A5,303 BAY 14TH STREET,,11214,1,0,1,"1,511",928,1950,1,A5,0,4/8/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,132,,A5,314 BAY 14TH STREET,,11214,1,0,1,"1,511",992,1950,1,A5,0,3/14/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,141,,A5,1173 SHORE PARKWAY,,11214,1,0,1,"1,661","1,392",1950,1,A5,"843,000",5/19/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,179,,A1,8849 16TH AVENUE,,11214,1,0,1,"2,388","1,240",1940,1,A1,0,10/21/2021
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,194,,A5,273 BAY 14TH STREET,,11214,1,0,1,"1,795","1,152",1930,1,A5,"990,000",5/16/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,239,,A5,262 BAY 13TH STREET,,11214,1,0,1,"1,648",928,1945,1,A5,"762,000",12/21/2021
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,246,,A5,278 BAY 13TH STREET,,11214,1,0,1,"1,649",928,1945,1,A5,"780,000",11/12/2021
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,256,,A5,298 BAY 13TH STREET,,11214,1,0,1,"1,649",928,1945,1,A5,"840,000",6/15/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,274,,A5,259 BAY 13TH STREET,,11214,1,0,1,"1,649",928,1940,1,A5,0,4/8/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,306,,A5,327 BAY 13TH STREET,,11214,1,0,1,"1,619",928,1940,1,A5,"771,000",11/19/2021
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,318,,A5,312 BAY 13TH STREET,,11214,1,0,1,"1,653",928,1945,1,A5,"758,000",2/14/2022
